Limb,Time,Value
RIGHT_ARM,1626708482678000000,1.4121056E7
RIGHT_ARM,1626708482711332969,1.4106179E7
RIGHT_ARM,1626708482744665937,1.4088609E7
RIGHT_ARM,1626708482777998906,1.4076697E7
RIGHT_ARM,1626708482811331875,1.4063713E7
RIGHT_ARM,1626708482844664844,1.4054427E7
RIGHT_ARM,1626708482877997812,1.4043909E7
RIGHT_ARM,1626708482911330781,1.4033632E7
RIGHT_ARM,1626708482944663750,1.402044E7
RIGHT_ARM,1626708482977996719,1.4017237E7
RIGHT_ARM,1626708483011329687,1.4010523E7
RIGHT_ARM,1626708483044662656,1.4002243E7
RIGHT_ARM,1626708483077995625,1.3992087E7
RIGHT_ARM,1626708483111328594,1.3986925E7
RIGHT_ARM,1626708483144661562,1.3977499E7
RIGHT_ARM,1626708483177994531,1.3970885E7
RIGHT_ARM,1626708483211327500,1.3962947E7
RIGHT_ARM,1626708483244660469,1.3960407E7
RIGHT_ARM,1626708483277993437,1.3958953E7
RIGHT_ARM,1626708483311326406,1.3951807E7
RIGHT_ARM,1626708483344659375,1.3949264E7
RIGHT_ARM,1626708483377992344,1.3937209E7
RIGHT_ARM,1626708483411325312,1.3909869E7
RIGHT_ARM,1626708483444658281,1.3879127E7
RIGHT_ARM,1626708483477991250,1.384952E7
RIGHT_ARM,1626708483511324219,1.3825825E7
RIGHT_ARM,1626708483544657187,1.3806343E7
RIGHT_ARM,1626708483577990156,1.3782135E7
RIGHT_ARM,1626708483611323125,1.3758413E7
RIGHT_ARM,1626708483644656094,1.3746817E7
RIGHT_ARM,1626708483677989062,1.3735343E7
RIGHT_ARM,1626708483711322031,1.3722031E7
RIGHT_ARM,1626708483744655000,1.3711241E7
RIGHT_ARM,1626708483777987969,1.3703928E7
RIGHT_ARM,1626708483811320937,1.3698177E7
RIGHT_ARM,1626708483844653906,1.3697776E7
RIGHT_ARM,1626708483877986875,1.3696583E7
RIGHT_ARM,1626708483911319844,1.3696224E7
RIGHT_ARM,1626708483944652812,1.3697155E7
RIGHT_ARM,1626708483977985781,1.3697024E7
RIGHT_ARM,1626708484011318750,1.3699512E7
RIGHT_ARM,1626708484044651719,1.3699995E7
RIGHT_ARM,1626708484077984687,1.3702527E7
RIGHT_ARM,1626708484111317656,1.3705456E7
RIGHT_ARM,1626708484144650625,1.3709295E7
RIGHT_ARM,1626708484177983594,1.3712637E7
RIGHT_ARM,1626708484211316562,1.3717116E7
RIGHT_ARM,1626708484244649531,1.3722877E7
RIGHT_ARM,1626708484277982500,1.3727384E7
RIGHT_ARM,1626708484311315469,1.3736445E7
RIGHT_ARM,1626708484344648437,1.3738049E7
RIGHT_ARM,1626708484377981406,1.3745532E7
RIGHT_ARM,1626708484411314375,1.3740147E7
RIGHT_ARM,1626708484444647344,1.37214E7
RIGHT_ARM,1626708484477980312,1.3693956E7
RIGHT_ARM,1626708484511313281,1.3665495E7
RIGHT_ARM,1626708484544646250,1.363478E7
RIGHT_ARM,1626708484577979219,1.3607011E7
RIGHT_ARM,1626708484611312187,1.3584387E7
RIGHT_ARM,1626708484644645156,1.3559897E7
RIGHT_ARM,1626708484677978125,1.3545416E7
RIGHT_ARM,1626708484711311094,1.3544927E7
RIGHT_ARM,1626708484744644062,1.3550628E7
RIGHT_ARM,1626708484777977031,1.3564175E7
RIGHT_ARM,1626708484811310000,1.3586581E7
RIGHT_ARM,1626708484844642969,1.3610585E7
RIGHT_ARM,1626708484877975937,1.3637989E7
RIGHT_ARM,1626708484911308906,1.3665739E7
RIGHT_ARM,1626708484944641875,1.3697829E7
RIGHT_ARM,1626708484977974844,1.3731485E7
RIGHT_ARM,1626708485011307812,1.3767753E7
RIGHT_ARM,1626708485044640781,1.3802273E7
RIGHT_ARM,1626708485077973750,1.3840111E7
RIGHT_ARM,1626708485111306719,1.3879475E7
RIGHT_ARM,1626708485144639687,1.3920209E7
RIGHT_ARM,1626708485177972656,1.3955776E7
RIGHT_ARM,1626708485211305625,1.3990981E7
RIGHT_ARM,1626708485244638594,1.4028157E7
RIGHT_ARM,1626708485277971562,1.4056541E7
RIGHT_ARM,1626708485311304531,1.4085484E7
RIGHT_ARM,1626708485344637500,1.4106651E7
RIGHT_ARM,1626708485377970469,1.4129068E7
RIGHT_ARM,1626708485411303437,1.4145211E7
RIGHT_ARM,1626708485444636406,1.4156208E7
RIGHT_ARM,1626708485477969375,1.4152191E7
RIGHT_ARM,1626708485511302344,1.4130317E7
RIGHT_ARM,1626708485544635312,1.4095864E7
RIGHT_ARM,1626708485577968281,1.4057723E7
RIGHT_ARM,1626708485611301250,1.4020128E7
RIGHT_ARM,1626708485644634219,1.3980751E7
RIGHT_ARM,1626708485677967187,1.3940097E7
RIGHT_ARM,1626708485711300156,1.39082E7
RIGHT_ARM,1626708485744633125,1.3882608E7
RIGHT_ARM,1626708485777966094,1.3856856E7
RIGHT_ARM,1626708485811299062,1.3834536E7
RIGHT_ARM,1626708485844632031,1.3807664E7
RIGHT_ARM,1626708485877965000,1.3781867E7
RIGHT_ARM,1626708485911297969,1.3754112E7
RIGHT_ARM,1626708485944630937,1.3732685E7
RIGHT_ARM,1626708485977963906,1.3714601E7
RIGHT_ARM,1626708486011296875,1.3699297E7
RIGHT_ARM,1626708486044629844,1.3687461E7
RIGHT_ARM,1626708486077962812,1.3676915E7
RIGHT_ARM,1626708486111295781,1.3663843E7
RIGHT_ARM,1626708486144628750,1.3649581E7
RIGHT_ARM,1626708486177961719,1.3633749E7
RIGHT_ARM,1626708486211294687,1.3619056E7
RIGHT_ARM,1626708486244627656,1.3607619E7
RIGHT_ARM,1626708486277960625,1.35982E7
RIGHT_ARM,1626708486311293594,1.3588373E7
RIGHT_ARM,1626708486344626562,1.3584035E7
RIGHT_ARM,1626708486377959531,1.3581212E7
RIGHT_ARM,1626708486411292500,1.3583992E7
RIGHT_ARM,1626708486444625469,1.3593581E7
RIGHT_ARM,1626708486477958437,1.3611557E7
RIGHT_ARM,1626708486511291406,1.3635728E7
RIGHT_ARM,1626708486544624375,1.3662683E7
RIGHT_ARM,1626708486577957344,1.3693037E7
RIGHT_ARM,1626708486611290312,1.3730161E7
RIGHT_ARM,1626708486644623281,1.3767456E7
RIGHT_ARM,1626708486677956250,1.3792891E7
RIGHT_ARM,1626708486711289219,1.3803717E7
RIGHT_ARM,1626708486744622187,1.3795277E7
RIGHT_ARM,1626708486777955156,1.3787648E7
RIGHT_ARM,1626708486811288125,1.3778984E7
RIGHT_ARM,1626708486844621094,1.3760532E7
RIGHT_ARM,1626708486877954062,1.37472E7
RIGHT_ARM,1626708486911287031,1.373446E7
RIGHT_ARM,1626708486944620000,1.3730323E7
RIGHT_ARM,1626708486977952969,1.3729621E7
RIGHT_ARM,1626708487011285937,1.3726371E7
RIGHT_ARM,1626708487044618906,1.3721909E7
