Limb,Time,Value
LEFT_ARM,1624917347319000000,1.9788582E7
LEFT_ARM,1624917347352332968,1.9798542E7
LEFT_ARM,1624917347385665937,1.981248E7
LEFT_ARM,1624917347418998906,1.9824678E7
LEFT_ARM,1624917347452331875,1.9838138E7
LEFT_ARM,1624917347485664843,1.985284E7
LEFT_ARM,1624917347518997812,1.9844922E7
LEFT_ARM,1624917347552330781,1.9792744E7
LEFT_ARM,1624917347585663750,1.9727746E7
LEFT_ARM,1624917347618996718,1.9662894E7
LEFT_ARM,1624917347652329687,1.9616694E7
LEFT_ARM,1624917347685662656,1.9569584E7
LEFT_ARM,1624917347718995625,1.9525806E7
LEFT_ARM,1624917347752328593,1.947903E7
LEFT_ARM,1624917347785661562,1.9446808E7
LEFT_ARM,1624917347818994531,1.9435744E7
LEFT_ARM,1624917347852327500,1.9424864E7
LEFT_ARM,1624917347885660468,1.940993E7
LEFT_ARM,1624917347918993437,1.9398954E7
LEFT_ARM,1624917347952326406,1.9399198E7
LEFT_ARM,1624917347985659375,1.9403236E7
LEFT_ARM,1624917348018992343,1.9414618E7
LEFT_ARM,1624917348052325312,1.9425044E7
LEFT_ARM,1624917348085658281,1.9428666E7
LEFT_ARM,1624917348118991250,1.9438034E7
LEFT_ARM,1624917348152324218,1.9443678E7
LEFT_ARM,1624917348185657187,1.9443978E7
LEFT_ARM,1624917348218990156,1.9446874E7
LEFT_ARM,1624917348252323125,1.9450602E7
LEFT_ARM,1624917348285656093,1.9466592E7
LEFT_ARM,1624917348318989062,1.9470166E7
LEFT_ARM,1624917348352322031,1.9483202E7
LEFT_ARM,1624917348385655000,1.9496484E7
LEFT_ARM,1624917348418987968,1.9507298E7
LEFT_ARM,1624917348452320937,1.9520298E7
LEFT_ARM,1624917348485653906,1.9535646E7
LEFT_ARM,1624917348518986875,1.9548194E7
LEFT_ARM,1624917348552319843,1.9526982E7
LEFT_ARM,1624917348585652812,1.9461794E7
LEFT_ARM,1624917348618985781,1.938637E7
LEFT_ARM,1624917348652318750,1.9318958E7
LEFT_ARM,1624917348685651718,1.9265382E7
LEFT_ARM,1624917348718984687,1.9214238E7
LEFT_ARM,1624917348752317656,1.9158224E7
LEFT_ARM,1624917348785650625,1.9113266E7
LEFT_ARM,1624917348818983593,1.9090296E7
LEFT_ARM,1624917348852316562,1.9070956E7
LEFT_ARM,1624917348885649531,1.9057144E7
LEFT_ARM,1624917348918982500,1.9045264E7
LEFT_ARM,1624917348952315468,1.9041362E7
LEFT_ARM,1624917348985648437,1.9049368E7
LEFT_ARM,1624917349018981406,1.906231E7
LEFT_ARM,1624917349052314375,1.9085654E7
LEFT_ARM,1624917349085647343,1.9106786E7
LEFT_ARM,1624917349118980312,1.9130398E7
LEFT_ARM,1624917349152313281,1.915597E7
LEFT_ARM,1624917349185646250,1.9180384E7
LEFT_ARM,1624917349218979218,1.9206884E7
LEFT_ARM,1624917349252312187,1.9224908E7
LEFT_ARM,1624917349285645156,1.9249934E7
LEFT_ARM,1624917349318978125,1.9276558E7
LEFT_ARM,1624917349352311093,1.9305544E7
LEFT_ARM,1624917349385644062,1.9333768E7
LEFT_ARM,1624917349418977031,1.936393E7
LEFT_ARM,1624917349452310000,1.9380718E7
LEFT_ARM,1624917349485642968,1.9356456E7
LEFT_ARM,1624917349518975937,1.931484E7
LEFT_ARM,1624917349552308906,1.9269284E7
LEFT_ARM,1624917349585641875,1.923668E7
LEFT_ARM,1624917349618974843,1.9209496E7
LEFT_ARM,1624917349652307812,1.917703E7
LEFT_ARM,1624917349685640781,1.9144408E7
LEFT_ARM,1624917349718973750,1.9130096E7
LEFT_ARM,1624917349752306718,1.9129696E7
LEFT_ARM,1624917349785639687,1.9131554E7
LEFT_ARM,1624917349818972656,1.912971E7
LEFT_ARM,1624917349852305625,1.9129612E7
LEFT_ARM,1624917349885638593,1.9138796E7
LEFT_ARM,1624917349918971562,1.9152468E7
LEFT_ARM,1624917349952304531,1.9172198E7
LEFT_ARM,1624917349985637500,1.9189214E7
LEFT_ARM,1624917350018970468,1.9214406E7
LEFT_ARM,1624917350052303437,1.9240498E7
LEFT_ARM,1624917350085636406,1.9266986E7
LEFT_ARM,1624917350118969375,1.9290036E7
LEFT_ARM,1624917350152302343,1.9314976E7
LEFT_ARM,1624917350185635312,1.9339878E7
LEFT_ARM,1624917350218968281,1.9366614E7
LEFT_ARM,1624917350252301250,1.9392672E7
LEFT_ARM,1624917350285634218,1.9417952E7
LEFT_ARM,1624917350318967187,1.9453162E7
LEFT_ARM,1624917350352300156,1.9485962E7
LEFT_ARM,1624917350385633125,1.9515078E7
LEFT_ARM,1624917350418966093,1.9525574E7
LEFT_ARM,1624917350452299062,1.9492946E7
LEFT_ARM,1624917350485632031,1.9439772E7
LEFT_ARM,1624917350518965000,1.9391594E7
LEFT_ARM,1624917350552297968,1.935486E7
LEFT_ARM,1624917350585630937,1.9320328E7
LEFT_ARM,1624917350618963906,1.9275476E7
LEFT_ARM,1624917350652296875,1.9235646E7
LEFT_ARM,1624917350685629843,1.9209544E7
LEFT_ARM,1624917350718962812,1.920463E7
LEFT_ARM,1624917350752295781,1.920306E7
LEFT_ARM,1624917350785628750,1.9203622E7
LEFT_ARM,1624917350818961718,1.920783E7
LEFT_ARM,1624917350852294687,1.9217402E7
LEFT_ARM,1624917350885627656,1.9230388E7
LEFT_ARM,1624917350918960625,1.9252362E7
LEFT_ARM,1624917350952293593,1.926851E7
LEFT_ARM,1624917350985626562,1.9288706E7
LEFT_ARM,1624917351018959531,1.9313544E7
LEFT_ARM,1624917351052292500,1.9338066E7
LEFT_ARM,1624917351085625468,1.9363042E7
LEFT_ARM,1624917351118958437,1.9391604E7
LEFT_ARM,1624917351152291406,1.9418484E7
LEFT_ARM,1624917351185624375,1.9444882E7
LEFT_ARM,1624917351218957343,1.9477336E7
LEFT_ARM,1624917351252290312,1.9509556E7
LEFT_ARM,1624917351285623281,1.9541374E7
LEFT_ARM,1624917351318956250,1.9573226E7
LEFT_ARM,1624917351352289218,1.9606072E7
LEFT_ARM,1624917351385622187,1.9642424E7
LEFT_ARM,1624917351418955156,1.9677106E7
LEFT_ARM,1624917351452288125,1.969033E7
LEFT_ARM,1624917351485621093,1.965769E7
LEFT_ARM,1624917351518954062,1.9611524E7
