Limb,Time,Value
LEFT_ARM,1625011751201000000,1.3230859E7
LEFT_ARM,1625011751234332968,1.3235963E7
LEFT_ARM,1625011751267665937,1.3239377E7
LEFT_ARM,1625011751300998906,1.3247816E7
LEFT_ARM,1625011751334331875,1.3255139E7
LEFT_ARM,1625011751367664843,1.32609E7
LEFT_ARM,1625011751400997812,1.3272856E7
LEFT_ARM,1625011751434330781,1.3286485E7
LEFT_ARM,1625011751467663750,1.3296459E7
LEFT_ARM,1625011751500996718,1.33063E7
LEFT_ARM,1625011751534329687,1.3320128E7
LEFT_ARM,1625011751567662656,1.3335465E7
LEFT_ARM,1625011751600995625,1.3348811E7
LEFT_ARM,1625011751634328593,1.3364605E7
LEFT_ARM,1625011751667661562,1.3373576E7
LEFT_ARM,1625011751700994531,1.3385511E7
LEFT_ARM,1625011751734327500,1.3399816E7
LEFT_ARM,1625011751767660468,1.3414075E7
LEFT_ARM,1625011751800993437,1.3427828E7
LEFT_ARM,1625011751834326406,1.3439775E7
LEFT_ARM,1625011751867659375,1.3435035E7
LEFT_ARM,1625011751900992343,1.3423513E7
LEFT_ARM,1625011751934325312,1.3419549E7
LEFT_ARM,1625011751967658281,1.3413504E7
LEFT_ARM,1625011752000991250,1.3414864E7
LEFT_ARM,1625011752034324218,1.3416469E7
LEFT_ARM,1625011752067657187,1.3416092E7
LEFT_ARM,1625011752100990156,1.3421213E7
LEFT_ARM,1625011752134323125,1.3427237E7
LEFT_ARM,1625011752167656093,1.3427363E7
LEFT_ARM,1625011752200989062,1.3432413E7
LEFT_ARM,1625011752234322031,1.3434712E7
LEFT_ARM,1625011752267655000,1.3444285E7
LEFT_ARM,1625011752300987968,1.3442976E7
LEFT_ARM,1625011752334320937,1.3451712E7
LEFT_ARM,1625011752367653906,1.3464373E7
LEFT_ARM,1625011752400986875,1.3475861E7
LEFT_ARM,1625011752434319843,1.34852E7
LEFT_ARM,1625011752467652812,1.3493407E7
LEFT_ARM,1625011752500985781,1.3503419E7
LEFT_ARM,1625011752534318750,1.3512001E7
LEFT_ARM,1625011752567651718,1.3518475E7
LEFT_ARM,1625011752600984687,1.3528532E7
LEFT_ARM,1625011752634317656,1.3540949E7
LEFT_ARM,1625011752667650625,1.3550403E7
LEFT_ARM,1625011752700983593,1.3563811E7
LEFT_ARM,1625011752734316562,1.3567437E7
LEFT_ARM,1625011752767649531,1.3553413E7
LEFT_ARM,1625011752800982500,1.3541743E7
LEFT_ARM,1625011752834315468,1.3526067E7
LEFT_ARM,1625011752867648437,1.3523204E7
LEFT_ARM,1625011752900981406,1.3517264E7
LEFT_ARM,1625011752934314375,1.3511503E7
LEFT_ARM,1625011752967647343,1.3510181E7
LEFT_ARM,1625011753000980312,1.3514512E7
LEFT_ARM,1625011753034313281,1.3516623E7
LEFT_ARM,1625011753067646250,1.3520593E7
LEFT_ARM,1625011753100979218,1.3524041E7
LEFT_ARM,1625011753134312187,1.3530261E7
LEFT_ARM,1625011753167645156,1.3537168E7
LEFT_ARM,1625011753200978125,1.3545281E7
LEFT_ARM,1625011753234311093,1.3552541E7
LEFT_ARM,1625011753267644062,1.3558617E7
LEFT_ARM,1625011753300977031,1.3573639E7
LEFT_ARM,1625011753334310000,1.3580161E7
LEFT_ARM,1625011753367642968,1.3589795E7
LEFT_ARM,1625011753400975937,1.3601681E7
LEFT_ARM,1625011753434308906,1.3611427E7
