Limb,Time,Value
LEFT_ARM,1625011852079000000,1.6814666E7
LEFT_ARM,1625011852112332969,1.680659E7
LEFT_ARM,1625011852145665938,1.6800138E7
LEFT_ARM,1625011852178998906,1.679338E7
LEFT_ARM,1625011852212331875,1.6786996E7
LEFT_ARM,1625011852245664844,1.6781306E7
LEFT_ARM,1625011852278997813,1.6778628E7
LEFT_ARM,1625011852312330781,1.6771208E7
LEFT_ARM,1625011852345663750,1.6766728E7
LEFT_ARM,1625011852378996719,1.6757499E7
LEFT_ARM,1625011852412329688,1.6751393E7
LEFT_ARM,1625011852445662656,1.6748903E7
LEFT_ARM,1625011852478995625,1.674822E7
LEFT_ARM,1625011852512328594,1.6745553E7
LEFT_ARM,1625011852545661563,1.6716621E7
LEFT_ARM,1625011852578994531,1.6674989E7
LEFT_ARM,1625011852612327500,1.6633027E7
LEFT_ARM,1625011852645660469,1.6598845E7
LEFT_ARM,1625011852678993438,1.6573247E7
LEFT_ARM,1625011852712326406,1.655516E7
LEFT_ARM,1625011852745659375,1.6542521E7
LEFT_ARM,1625011852778992344,1.653496E7
LEFT_ARM,1625011852812325313,1.6524221E7
LEFT_ARM,1625011852845658281,1.6518029E7
LEFT_ARM,1625011852878991250,1.6503488E7
LEFT_ARM,1625011852912324219,1.6493317E7
LEFT_ARM,1625011852945657188,1.6479376E7
LEFT_ARM,1625011852978990156,1.6470491E7
LEFT_ARM,1625011853012323125,1.6461512E7
LEFT_ARM,1625011853045656094,1.6451613E7
LEFT_ARM,1625011853078989063,1.6447355E7
LEFT_ARM,1625011853112322031,1.6439785E7
LEFT_ARM,1625011853145655000,1.6434363E7
LEFT_ARM,1625011853178987969,1.6429612E7
LEFT_ARM,1625011853212320938,1.6426063E7
LEFT_ARM,1625011853245653906,1.6419456E7
LEFT_ARM,1625011853278986875,1.6416391E7
LEFT_ARM,1625011853312319844,1.6411984E7
LEFT_ARM,1625011853345652813,1.6407956E7
LEFT_ARM,1625011853378985781,1.6402585E7
LEFT_ARM,1625011853412318750,1.6402411E7
LEFT_ARM,1625011853445651719,1.6393488E7
LEFT_ARM,1625011853478984688,1.6387715E7
LEFT_ARM,1625011853512317656,1.6359256E7
LEFT_ARM,1625011853545650625,1.6309944E7
LEFT_ARM,1625011853578983594,1.6278687E7
LEFT_ARM,1625011853612316563,1.6245661E7
LEFT_ARM,1625011853645649531,1.6226913E7
LEFT_ARM,1625011853678982500,1.6208453E7
LEFT_ARM,1625011853712315469,1.6194616E7
LEFT_ARM,1625011853745648438,1.6186076E7
LEFT_ARM,1625011853778981406,1.6178164E7
LEFT_ARM,1625011853812314375,1.6167189E7
LEFT_ARM,1625011853845647344,1.6159724E7
LEFT_ARM,1625011853878980313,1.6151663E7
LEFT_ARM,1625011853912313281,1.6138745E7
LEFT_ARM,1625011853945646250,1.613292E7
LEFT_ARM,1625011853978979219,1.6127048E7
LEFT_ARM,1625011854012312188,1.6121793E7
LEFT_ARM,1625011854045645156,1.6115299E7
LEFT_ARM,1625011854078978125,1.6108876E7
LEFT_ARM,1625011854112311094,1.6104024E7
LEFT_ARM,1625011854145644063,1.6099847E7
LEFT_ARM,1625011854178977031,1.6096131E7
LEFT_ARM,1625011854212310000,1.6095033E7
LEFT_ARM,1625011854245642969,1.6091892E7
LEFT_ARM,1625011854278975938,1.6088119E7
LEFT_ARM,1625011854312308906,1.6083969E7
LEFT_ARM,1625011854345641875,1.6081575E7
LEFT_ARM,1625011854378974844,1.6078759E7
LEFT_ARM,1625011854412307813,1.607912E7
LEFT_ARM,1625011854445640781,1.6073503E7
LEFT_ARM,1625011854478973750,1.6063691E7
LEFT_ARM,1625011854512306719,1.6031171E7
LEFT_ARM,1625011854545639688,1.5996528E7
LEFT_ARM,1625011854578972656,1.5972816E7
LEFT_ARM,1625011854612305625,1.5952159E7
LEFT_ARM,1625011854645638594,1.5939533E7
LEFT_ARM,1625011854678971563,1.5929603E7
LEFT_ARM,1625011854712304531,1.5921553E7
LEFT_ARM,1625011854745637500,1.5919224E7
LEFT_ARM,1625011854778970469,1.5913901E7
LEFT_ARM,1625011854812303438,1.5906576E7
LEFT_ARM,1625011854845636406,1.5900473E7
LEFT_ARM,1625011854878969375,1.5893543E7
LEFT_ARM,1625011854912302344,1.5887217E7
LEFT_ARM,1625011854945635313,1.5882044E7
LEFT_ARM,1625011854978968281,1.5876695E7
LEFT_ARM,1625011855012301250,1.5873927E7
LEFT_ARM,1625011855045634219,1.5874024E7
LEFT_ARM,1625011855078967188,1.5870031E7
LEFT_ARM,1625011855112300156,1.5866025E7
LEFT_ARM,1625011855145633125,1.5865289E7
LEFT_ARM,1625011855178966094,1.5866436E7
LEFT_ARM,1625011855212299063,1.5861963E7
LEFT_ARM,1625011855245632031,1.5861459E7
LEFT_ARM,1625011855278965000,1.5857327E7
LEFT_ARM,1625011855312297969,1.5853291E7
LEFT_ARM,1625011855345630938,1.5849533E7
LEFT_ARM,1625011855378963906,1.5849531E7
LEFT_ARM,1625011855412296875,1.5848011E7
LEFT_ARM,1625011855445629844,1.5846783E7
LEFT_ARM,1625011855478962813,1.5830248E7
LEFT_ARM,1625011855512295781,1.5794556E7
LEFT_ARM,1625011855545628750,1.5775667E7
LEFT_ARM,1625011855578961719,1.5749613E7
LEFT_ARM,1625011855612294688,1.5736097E7
LEFT_ARM,1625011855645627656,1.5728753E7
LEFT_ARM,1625011855678960625,1.5724663E7
LEFT_ARM,1625011855712293594,1.5722907E7
LEFT_ARM,1625011855745626563,1.5720752E7
LEFT_ARM,1625011855778959531,1.5715787E7
LEFT_ARM,1625011855812292500,1.5709759E7
LEFT_ARM,1625011855845625469,1.5707237E7
LEFT_ARM,1625011855878958438,1.5699733E7
LEFT_ARM,1625011855912291406,1.5693752E7
LEFT_ARM,1625011855945624375,1.569522E7
LEFT_ARM,1625011855978957344,1.5690617E7
LEFT_ARM,1625011856012290313,1.5689893E7
LEFT_ARM,1625011856045623281,1.5689513E7
