Limb,Time,Value
LEFT_ARM,1624931874260000000,2.1987498E7
LEFT_ARM,1624931874293332969,2.1982354E7
LEFT_ARM,1624931874326665937,2.1976972E7
LEFT_ARM,1624931874359998906,2.1971326E7
LEFT_ARM,1624931874393331875,2.1968444E7
LEFT_ARM,1624931874426664844,2.1965966E7
LEFT_ARM,1624931874459997812,2.1967348E7
LEFT_ARM,1624931874493330781,2.195994E7
LEFT_ARM,1624931874526663750,2.1946688E7
LEFT_ARM,1624931874559996719,2.1906126E7
LEFT_ARM,1624931874593329687,2.1873586E7
LEFT_ARM,1624931874626662656,2.1835986E7
LEFT_ARM,1624931874659995625,2.1808082E7
LEFT_ARM,1624931874693328594,2.177109E7
LEFT_ARM,1624931874726661562,2.1738058E7
LEFT_ARM,1624931874759994531,2.1719528E7
LEFT_ARM,1624931874793327500,2.1697234E7
LEFT_ARM,1624931874826660469,2.167921E7
LEFT_ARM,1624931874859993437,2.1661762E7
LEFT_ARM,1624931874893326406,2.164286E7
LEFT_ARM,1624931874926659375,2.1623186E7
LEFT_ARM,1624931874959992344,2.1611442E7
LEFT_ARM,1624931874993325312,2.159871E7
LEFT_ARM,1624931875026658281,2.1585914E7
LEFT_ARM,1624931875059991250,2.1580712E7
LEFT_ARM,1624931875093324219,2.1569554E7
LEFT_ARM,1624931875126657187,2.155944E7
LEFT_ARM,1624931875159990156,2.1556728E7
LEFT_ARM,1624931875193323125,2.1548542E7
LEFT_ARM,1624931875226656094,2.1537854E7
LEFT_ARM,1624931875259989062,2.152687E7
LEFT_ARM,1624931875293322031,2.1512066E7
LEFT_ARM,1624931875326655000,2.1512302E7
LEFT_ARM,1624931875359987969,2.1504354E7
LEFT_ARM,1624931875393320937,2.1497718E7
LEFT_ARM,1624931875426653906,2.1496022E7
LEFT_ARM,1624931875459986875,2.1491422E7
LEFT_ARM,1624931875493319844,2.148901E7
LEFT_ARM,1624931875526652812,2.1487882E7
LEFT_ARM,1624931875559985781,2.1476358E7
LEFT_ARM,1624931875593318750,2.144579E7
LEFT_ARM,1624931875626651719,2.1409414E7
LEFT_ARM,1624931875659984687,2.1370992E7
LEFT_ARM,1624931875693317656,2.1335066E7
LEFT_ARM,1624931875726650625,2.1302566E7
LEFT_ARM,1624931875759983594,2.1269078E7
LEFT_ARM,1624931875793316562,2.1241614E7
LEFT_ARM,1624931875826649531,2.1216134E7
LEFT_ARM,1624931875859982500,2.12002E7
LEFT_ARM,1624931875893315469,2.1180864E7
LEFT_ARM,1624931875926648437,2.1158518E7
LEFT_ARM,1624931875959981406,2.1137554E7
LEFT_ARM,1624931875993314375,2.1118628E7
LEFT_ARM,1624931876026647344,2.1105214E7
LEFT_ARM,1624931876059980312,2.109174E7
LEFT_ARM,1624931876093313281,2.1082238E7
