Limb,Time,Value
LEFT_ARM,1625020114133000000,1.5365159E7
LEFT_ARM,1625020114166332968,1.5371565E7
LEFT_ARM,1625020114199665937,1.5378008E7
LEFT_ARM,1625020114232998906,1.5389363E7
LEFT_ARM,1625020114266331875,1.5395925E7
LEFT_ARM,1625020114299664843,1.5403399E7
LEFT_ARM,1625020114332997812,1.541528E7
LEFT_ARM,1625020114366330781,1.5424067E7
LEFT_ARM,1625020114399663750,1.5436135E7
LEFT_ARM,1625020114432996718,1.5443644E7
LEFT_ARM,1625020114466329687,1.5453179E7
LEFT_ARM,1625020114499662656,1.5436621E7
LEFT_ARM,1625020114532995625,1.5395099E7
LEFT_ARM,1625020114566328593,1.5352835E7
LEFT_ARM,1625020114599661562,1.5310747E7
LEFT_ARM,1625020114632994531,1.5281549E7
LEFT_ARM,1625020114666327500,1.5255077E7
LEFT_ARM,1625020114699660468,1.5226877E7
LEFT_ARM,1625020114732993437,1.5211376E7
LEFT_ARM,1625020114766326406,1.5197488E7
LEFT_ARM,1625020114799659375,1.5189377E7
LEFT_ARM,1625020114832992343,1.5182511E7
LEFT_ARM,1625020114866325312,1.5177044E7
LEFT_ARM,1625020114899658281,1.5173276E7
LEFT_ARM,1625020114932991250,1.5179824E7
LEFT_ARM,1625020114966324218,1.5185073E7
LEFT_ARM,1625020114999657187,1.5187707E7
LEFT_ARM,1625020115032990156,1.5195181E7
LEFT_ARM,1625020115066323125,1.5206083E7
LEFT_ARM,1625020115099656093,1.5219905E7
LEFT_ARM,1625020115132989062,1.5231801E7
LEFT_ARM,1625020115166322031,1.5239475E7
LEFT_ARM,1625020115199655000,1.5249323E7
LEFT_ARM,1625020115232987968,1.5259535E7
LEFT_ARM,1625020115266320937,1.5272717E7
LEFT_ARM,1625020115299653906,1.5284376E7
LEFT_ARM,1625020115332986875,1.5295472E7
LEFT_ARM,1625020115366319843,1.5311739E7
LEFT_ARM,1625020115399652812,1.5323497E7
LEFT_ARM,1625020115432985781,1.5338995E7
LEFT_ARM,1625020115466318750,1.5354204E7
LEFT_ARM,1625020115499651718,1.5365145E7
LEFT_ARM,1625020115532984687,1.5380125E7
LEFT_ARM,1625020115566317656,1.5392332E7
LEFT_ARM,1625020115599650625,1.5393789E7
LEFT_ARM,1625020115632983593,1.5368053E7
LEFT_ARM,1625020115666316562,1.5326245E7
LEFT_ARM,1625020115699649531,1.528632E7
LEFT_ARM,1625020115732982500,1.5259616E7
LEFT_ARM,1625020115766315468,1.5233073E7
LEFT_ARM,1625020115799648437,1.5209728E7
LEFT_ARM,1625020115832981406,1.5192273E7
LEFT_ARM,1625020115866314375,1.5180163E7
LEFT_ARM,1625020115899647343,1.5179453E7
LEFT_ARM,1625020115932980312,1.5176781E7
LEFT_ARM,1625020115966313281,1.5176063E7
LEFT_ARM,1625020115999646250,1.5179987E7
LEFT_ARM,1625020116032979218,1.5184687E7
LEFT_ARM,1625020116066312187,1.5189924E7
LEFT_ARM,1625020116099645156,1.5198688E7
LEFT_ARM,1625020116132978125,1.5206497E7
LEFT_ARM,1625020116166311093,1.5217176E7
LEFT_ARM,1625020116199644062,1.5227749E7
LEFT_ARM,1625020116232977031,1.524176E7
LEFT_ARM,1625020116266310000,1.525192E7
LEFT_ARM,1625020116299642968,1.5265608E7
LEFT_ARM,1625020116332975937,1.5279107E7
LEFT_ARM,1625020116366308906,1.5294008E7
LEFT_ARM,1625020116399641875,1.5306385E7
LEFT_ARM,1625020116432974843,1.5318808E7
LEFT_ARM,1625020116466307812,1.5333232E7
LEFT_ARM,1625020116499640781,1.5348157E7
LEFT_ARM,1625020116532973750,1.5363284E7
LEFT_ARM,1625020116566306718,1.5378231E7
LEFT_ARM,1625020116599639687,1.5393137E7
LEFT_ARM,1625020116632972656,1.5408465E7
LEFT_ARM,1625020116666305625,1.5420721E7
LEFT_ARM,1625020116699638593,1.5413607E7
LEFT_ARM,1625020116732971562,1.5380239E7
LEFT_ARM,1625020116766304531,1.5346184E7
LEFT_ARM,1625020116799637500,1.5315099E7
LEFT_ARM,1625020116832970468,1.52905E7
LEFT_ARM,1625020116866303437,1.5272259E7
LEFT_ARM,1625020116899636406,1.5249987E7
LEFT_ARM,1625020116932969375,1.5237497E7
LEFT_ARM,1625020116966302343,1.5234445E7
LEFT_ARM,1625020116999635312,1.523424E7
