"time","ppg_reading","reading_id","laterality"
"1","4.333285938","67870.5","LEFT_ARM"
"1","4.366618906","63436.5","LEFT_ARM"
"1","4.399951875","60266.5","LEFT_ARM"
"1","4.433284844","56930.0","LEFT_ARM"
"1","4.466617813","52398.0","LEFT_ARM"
"1","4.499950781","52150.5","LEFT_ARM"
"1","4.53328375","48784.0","LEFT_ARM"
"1","4.566616719","46039.5","LEFT_ARM"
"1","4.599949688","34643.5","LEFT_ARM"
"1","4.633282656","35198.0","LEFT_ARM"
"1","4.666615625","33201.0","LEFT_ARM"
"1","4.699948594","32433.0","LEFT_ARM"
"1","4.733281563","30694.0","LEFT_ARM"
"1","4.766614531","31223.5","LEFT_ARM"
"1","4.7999475","31226.0","LEFT_ARM"
"1","4.833280469","31095.0","LEFT_ARM"
"1","4.866613438","30369.0","LEFT_ARM"
"1","4.899946406","30859.0","LEFT_ARM"
"1","4.933279375","42778.0","LEFT_ARM"
"1","4.966612344","42606.0","LEFT_ARM"
"1","4.999945313","45038.0","LEFT_ARM"
"1","5.033278281","44948.5","LEFT_ARM"
"1","5.06661125","44696.5","LEFT_ARM"
"1","5.099944219","46466.0","LEFT_ARM"
"1","5.133277188","46593.0","LEFT_ARM"
"1","5.166610156","49164.0","LEFT_ARM"
"1","5.199943125","48319.0","LEFT_ARM"
"1","5.233276094","44298.0","LEFT_ARM"
"1","5.266609063","50850.0","LEFT_ARM"
"1","5.299942031","46183.5","LEFT_ARM"
"1","5.333275","41289.0","LEFT_ARM"
"1","5.366607969","33924.0","LEFT_ARM"
"1","5.399940938","32156.0","LEFT_ARM"
"1","5.433273906","28521.0","LEFT_ARM"
"1","5.466606875","25043.5","LEFT_ARM"
"1","5.499939844","24754.0","LEFT_ARM"
"1","5.533272813","22831.5","LEFT_ARM"
"1","5.566605781","21988.0","LEFT_ARM"
"1","5.59993875","7354.5","LEFT_ARM"
"1","5.633271719","8952.0","LEFT_ARM"
"1","5.666604688","7914.5","LEFT_ARM"
"1","5.699937656","8570.0","LEFT_ARM"
"1","5.733270625","9308.0","LEFT_ARM"
"1","5.766603594","7222.5","LEFT_ARM"
"1","5.799936563","8177.0","LEFT_ARM"
"1","5.833269531","8096.0","LEFT_ARM"
"1","5.8666025","11418.0","LEFT_ARM"
"1","5.899935469","11322.5","LEFT_ARM"
"1","5.933268438","13789.0","LEFT_ARM"
"1","5.966601406","16548.0","LEFT_ARM"
"1","5.999934375","17509.0","LEFT_ARM"
"1","6.033267344","18556.0","LEFT_ARM"
"1","6.066600313","19898.5","LEFT_ARM"
"1","6.099933281","20912.0","LEFT_ARM"
"1","6.13326625","22113.0","LEFT_ARM"
"1","6.166599219","24910.5","LEFT_ARM"
"1","6.199932188","24344.5","LEFT_ARM"
"1","6.233265156","23300.5","LEFT_ARM"
"1","6.266598125","33786.5","LEFT_ARM"
