Limb,Time,Value
LEFT_ARM,1625019975146000000,1.0868848E7
LEFT_ARM,1625019975179332969,1.0868331E7
LEFT_ARM,1625019975212665938,1.0863115E7
LEFT_ARM,1625019975245998907,1.0842048E7
LEFT_ARM,1625019975279331875,1.0816651E7
LEFT_ARM,1625019975312664844,1.0795523E7
LEFT_ARM,1625019975345997813,1.0780164E7
LEFT_ARM,1625019975379330782,1.0767697E7
LEFT_ARM,1625019975412663750,1.0755557E7
LEFT_ARM,1625019975445996719,1.0746505E7
LEFT_ARM,1625019975479329688,1.0743873E7
LEFT_ARM,1625019975512662657,1.0742417E7
LEFT_ARM,1625019975545995625,1.0738343E7
LEFT_ARM,1625019975579328594,1.0733479E7
LEFT_ARM,1625019975612661563,1.0727929E7
LEFT_ARM,1625019975645994532,1.07236E7
LEFT_ARM,1625019975679327500,1.0719277E7
LEFT_ARM,1625019975712660469,1.0714448E7
LEFT_ARM,1625019975745993438,1.0715953E7
LEFT_ARM,1625019975779326407,1.0715069E7
LEFT_ARM,1625019975812659375,1.071327E7
LEFT_ARM,1625019975845992344,1.0713928E7
LEFT_ARM,1625019975879325313,1.0714089E7
LEFT_ARM,1625019975912658282,1.0715727E7
LEFT_ARM,1625019975945991250,1.0715661E7
LEFT_ARM,1625019975979324219,1.0716764E7
LEFT_ARM,1625019976012657188,1.0719703E7
LEFT_ARM,1625019976045990157,1.0721237E7
LEFT_ARM,1625019976079323125,1.0721431E7
LEFT_ARM,1625019976112656094,1.0722249E7
LEFT_ARM,1625019976145989063,1.0720777E7
LEFT_ARM,1625019976179322032,1.0719469E7
LEFT_ARM,1625019976212655000,1.0717729E7
LEFT_ARM,1625019976245987969,1.071646E7
LEFT_ARM,1625019976279320938,1.0713141E7
LEFT_ARM,1625019976312653907,1.0706303E7
LEFT_ARM,1625019976345986875,1.0689272E7
LEFT_ARM,1625019976379319844,1.0666608E7
LEFT_ARM,1625019976412652813,1.0640325E7
LEFT_ARM,1625019976445985782,1.0622103E7
LEFT_ARM,1625019976479318750,1.0608001E7
LEFT_ARM,1625019976512651719,1.0596112E7
LEFT_ARM,1625019976545984688,1.0589225E7
LEFT_ARM,1625019976579317657,1.0585901E7
LEFT_ARM,1625019976612650625,1.0585444E7
LEFT_ARM,1625019976645983594,1.0583186E7
LEFT_ARM,1625019976679316563,1.0580265E7
LEFT_ARM,1625019976712649532,1.0576525E7
LEFT_ARM,1625019976745982500,1.0571864E7
LEFT_ARM,1625019976779315469,1.0566459E7
LEFT_ARM,1625019976812648438,1.0567557E7
LEFT_ARM,1625019976845981407,1.0564365E7
LEFT_ARM,1625019976879314375,1.0562422E7
LEFT_ARM,1625019976912647344,1.0563437E7
LEFT_ARM,1625019976945980313,1.0562907E7
LEFT_ARM,1625019976979313282,1.0564444E7
LEFT_ARM,1625019977012646250,1.0564184E7
LEFT_ARM,1625019977045979219,1.0564735E7
LEFT_ARM,1625019977079312188,1.0563597E7
LEFT_ARM,1625019977112645157,1.0564745E7
LEFT_ARM,1625019977145978125,1.0562388E7
LEFT_ARM,1625019977179311094,1.0562653E7
LEFT_ARM,1625019977212644063,1.0563578E7
LEFT_ARM,1625019977245977032,1.0563577E7
LEFT_ARM,1625019977279310000,1.0563855E7
LEFT_ARM,1625019977312642969,1.0565423E7
LEFT_ARM,1625019977345975938,1.0565552E7
LEFT_ARM,1625019977379308907,1.0566064E7
LEFT_ARM,1625019977412641875,1.0563988E7
LEFT_ARM,1625019977445974844,1.0554127E7
LEFT_ARM,1625019977479307813,1.0532621E7
LEFT_ARM,1625019977512640782,1.0510187E7
LEFT_ARM,1625019977545973750,1.0492477E7
LEFT_ARM,1625019977579306719,1.0479568E7
LEFT_ARM,1625019977612639688,1.0470357E7
LEFT_ARM,1625019977645972657,1.0463369E7
LEFT_ARM,1625019977679305625,1.0454064E7
LEFT_ARM,1625019977712638594,1.0453473E7
LEFT_ARM,1625019977745971563,1.0449929E7
LEFT_ARM,1625019977779304532,1.0445269E7
LEFT_ARM,1625019977812637500,1.0444025E7
LEFT_ARM,1625019977845970469,1.043933E7
LEFT_ARM,1625019977879303438,1.0435253E7
LEFT_ARM,1625019977912636407,1.0433941E7
LEFT_ARM,1625019977945969375,1.0432334E7
LEFT_ARM,1625019977979302344,1.0434111E7
LEFT_ARM,1625019978012635313,1.0435063E7
LEFT_ARM,1625019978045968282,1.0435267E7
LEFT_ARM,1625019978079301250,1.0437561E7
LEFT_ARM,1625019978112634219,1.0441809E7
LEFT_ARM,1625019978145967188,1.0443473E7
LEFT_ARM,1625019978179300157,1.0446569E7
LEFT_ARM,1625019978212633125,1.0446477E7
LEFT_ARM,1625019978245966094,1.0450333E7
LEFT_ARM,1625019978279299063,1.0451699E7
