Limb,Time,Value
LEFT_ARM,1625019761318000000,1.8085352E7
LEFT_ARM,1625019761351332969,1.8094488E7
LEFT_ARM,1625019761384665937,1.8114298E7
LEFT_ARM,1625019761417998906,1.8132212E7
LEFT_ARM,1625019761451331875,1.8145962E7
LEFT_ARM,1625019761484664844,1.8152544E7
LEFT_ARM,1625019761517997812,1.812776E7
LEFT_ARM,1625019761551330781,1.8083158E7
LEFT_ARM,1625019761584663750,1.8034696E7
LEFT_ARM,1625019761617996719,1.7987656E7
LEFT_ARM,1625019761651329687,1.7951614E7
LEFT_ARM,1625019761684662656,1.7923842E7
LEFT_ARM,1625019761717995625,1.7857922E7
LEFT_ARM,1625019761751328594,1.7826778E7
LEFT_ARM,1625019761784661562,1.7804152E7
LEFT_ARM,1625019761817994531,1.77891E7
LEFT_ARM,1625019761851327500,1.7762222E7
LEFT_ARM,1625019761884660469,1.7726816E7
LEFT_ARM,1625019761917993437,1.7692924E7
LEFT_ARM,1625019761951326406,1.7661742E7
LEFT_ARM,1625019761984659375,1.7619792E7
LEFT_ARM,1625019762017992344,1.7560624E7
LEFT_ARM,1625019762051325312,1.7486922E7
LEFT_ARM,1625019762084658281,1.7385426E7
LEFT_ARM,1625019762117991250,1.7265082E7
LEFT_ARM,1625019762151324219,1.7137342E7
LEFT_ARM,1625019762184657187,1.7024998E7
LEFT_ARM,1625019762217990156,1.6945208E7
LEFT_ARM,1625019762251323125,1.686512E7
LEFT_ARM,1625019762284656094,1.6802694E7
LEFT_ARM,1625019762317989062,1.6737491E7
LEFT_ARM,1625019762351322031,1.6661825E7
LEFT_ARM,1625019762384655000,1.6592819E7
LEFT_ARM,1625019762417987969,1.6530477E7
LEFT_ARM,1625019762451320937,1.646762E7
LEFT_ARM,1625019762484653906,1.6391507E7
LEFT_ARM,1625019762517986875,1.6328117E7
LEFT_ARM,1625019762551319844,1.6265509E7
LEFT_ARM,1625019762584652812,1.6192208E7
LEFT_ARM,1625019762617985781,1.6138763E7
LEFT_ARM,1625019762651318750,1.6083672E7
LEFT_ARM,1625019762684651719,1.6004292E7
LEFT_ARM,1625019762717984687,1.5914161E7
LEFT_ARM,1625019762751317656,1.5831093E7
LEFT_ARM,1625019762784650625,1.5758953E7
LEFT_ARM,1625019762817983594,1.5688513E7
LEFT_ARM,1625019762851316562,1.5624856E7
LEFT_ARM,1625019762884649531,1.5568887E7
LEFT_ARM,1625019762917982500,1.5524136E7
LEFT_ARM,1625019762951315469,1.5488185E7
LEFT_ARM,1625019762984648437,1.5451275E7
LEFT_ARM,1625019763017981406,1.5417485E7
LEFT_ARM,1625019763051314375,1.5391575E7
LEFT_ARM,1625019763084647344,1.5365363E7
LEFT_ARM,1625019763117980312,1.5342631E7
LEFT_ARM,1625019763151313281,1.5323827E7
LEFT_ARM,1625019763184646250,1.5315781E7
LEFT_ARM,1625019763217979219,1.5313099E7
LEFT_ARM,1625019763251312187,1.5314496E7
LEFT_ARM,1625019763284645156,1.5317344E7
LEFT_ARM,1625019763317978125,1.5319923E7
LEFT_ARM,1625019763351311094,1.5323588E7
LEFT_ARM,1625019763384644062,1.5327611E7
LEFT_ARM,1625019763417977031,1.5332611E7
LEFT_ARM,1625019763451310000,1.5333699E7
LEFT_ARM,1625019763484642969,1.5346187E7
LEFT_ARM,1625019763517975937,1.5355373E7
LEFT_ARM,1625019763551308906,1.5364241E7
LEFT_ARM,1625019763584641875,1.5371157E7
LEFT_ARM,1625019763617974844,1.5383101E7
LEFT_ARM,1625019763651307812,1.5396353E7
LEFT_ARM,1625019763684640781,1.541068E7
LEFT_ARM,1625019763717973750,1.5421963E7
LEFT_ARM,1625019763751306719,1.5436413E7
LEFT_ARM,1625019763784639687,1.5450008E7
LEFT_ARM,1625019763817972656,1.5450584E7
LEFT_ARM,1625019763851305625,1.5426041E7
LEFT_ARM,1625019763884638594,1.5386635E7
LEFT_ARM,1625019763917971562,1.5344164E7
LEFT_ARM,1625019763951304531,1.5309692E7
LEFT_ARM,1625019763984637500,1.5278157E7
LEFT_ARM,1625019764017970469,1.5246259E7
LEFT_ARM,1625019764051303437,1.5212648E7
LEFT_ARM,1625019764084636406,1.5198379E7
LEFT_ARM,1625019764117969375,1.5186729E7
LEFT_ARM,1625019764151302344,1.5176549E7
LEFT_ARM,1625019764184635312,1.5165544E7
LEFT_ARM,1625019764217968281,1.5157888E7
LEFT_ARM,1625019764251301250,1.5156453E7
LEFT_ARM,1625019764284634219,1.5154392E7
LEFT_ARM,1625019764317967187,1.5151181E7
LEFT_ARM,1625019764351300156,1.5159436E7
LEFT_ARM,1625019764384633125,1.5159181E7
LEFT_ARM,1625019764417966094,1.5163739E7
LEFT_ARM,1625019764451299062,1.5171896E7
LEFT_ARM,1625019764484632031,1.5183204E7
LEFT_ARM,1625019764517965000,1.5192413E7
LEFT_ARM,1625019764551297969,1.5198684E7
LEFT_ARM,1625019764584630937,1.520726E7
LEFT_ARM,1625019764617963906,1.5217988E7
LEFT_ARM,1625019764651296875,1.5226656E7
LEFT_ARM,1625019764684629844,1.5239387E7
LEFT_ARM,1625019764717962812,1.524684E7
LEFT_ARM,1625019764751295781,1.5255139E7
LEFT_ARM,1625019764784628750,1.5266384E7
LEFT_ARM,1625019764817961719,1.5282152E7
LEFT_ARM,1625019764851294687,1.5298604E7
LEFT_ARM,1625019764884627656,1.5315888E7
LEFT_ARM,1625019764917960625,1.5326989E7
LEFT_ARM,1625019764951293594,1.5322475E7
LEFT_ARM,1625019764984626562,1.5296179E7
LEFT_ARM,1625019765017959531,1.5261852E7
LEFT_ARM,1625019765051292500,1.5230859E7
LEFT_ARM,1625019765084625469,1.5202144E7
LEFT_ARM,1625019765117958437,1.5178715E7
LEFT_ARM,1625019765151291406,1.5152669E7
LEFT_ARM,1625019765184624375,1.5136965E7
LEFT_ARM,1625019765217957344,1.5132439E7
LEFT_ARM,1625019765251290312,1.5134492E7
LEFT_ARM,1625019765284623281,1.5130552E7
LEFT_ARM,1625019765317956250,1.5127977E7
LEFT_ARM,1625019765351289219,1.5129117E7
LEFT_ARM,1625019765384622187,1.5127933E7
