Limb,Time,Value
LEFT_ARM,1624931096600000000,1.8354858E7
LEFT_ARM,1624931096633332969,1.8340594E7
LEFT_ARM,1624931096666665937,1.832373E7
LEFT_ARM,1624931096699998906,1.8311554E7
LEFT_ARM,1624931096733331875,1.829509E7
LEFT_ARM,1624931096766664844,1.8285582E7
LEFT_ARM,1624931096799997812,1.8269618E7
LEFT_ARM,1624931096833330781,1.826189E7
LEFT_ARM,1624931096866663750,1.825851E7
LEFT_ARM,1624931096899996719,1.8253814E7
LEFT_ARM,1624931096933329687,1.824697E7
LEFT_ARM,1624931096966662656,1.824295E7
LEFT_ARM,1624931096999995625,1.8240344E7
LEFT_ARM,1624931097033328594,1.8236048E7
LEFT_ARM,1624931097066661562,1.822617E7
LEFT_ARM,1624931097099994531,1.8226392E7
LEFT_ARM,1624931097133327500,1.8220634E7
LEFT_ARM,1624931097166660469,1.8215442E7
LEFT_ARM,1624931097199993437,1.821581E7
LEFT_ARM,1624931097233326406,1.8212974E7
LEFT_ARM,1624931097266659375,1.8212974E7
LEFT_ARM,1624931097299992344,1.8213914E7
LEFT_ARM,1624931097333325312,1.821004E7
LEFT_ARM,1624931097366658281,1.8197356E7
LEFT_ARM,1624931097399991250,1.8168934E7
LEFT_ARM,1624931097433324219,1.8134018E7
LEFT_ARM,1624931097466657187,1.8101642E7
LEFT_ARM,1624931097499990156,1.807533E7
LEFT_ARM,1624931097533323125,1.804528E7
LEFT_ARM,1624931097566656094,1.802198E7
LEFT_ARM,1624931097599989062,1.8003922E7
LEFT_ARM,1624931097633322031,1.7992658E7
LEFT_ARM,1624931097666655000,1.7981624E7
LEFT_ARM,1624931097699987969,1.7971342E7
LEFT_ARM,1624931097733320937,1.796109E7
LEFT_ARM,1624931097766653906,1.7955912E7
LEFT_ARM,1624931097799986875,1.7948954E7
LEFT_ARM,1624931097833319844,1.794301E7
LEFT_ARM,1624931097866652812,1.7935738E7
LEFT_ARM,1624931097899985781,1.793391E7
LEFT_ARM,1624931097933318750,1.7932122E7
LEFT_ARM,1624931097966651719,1.7930706E7
LEFT_ARM,1624931097999984687,1.7931034E7
LEFT_ARM,1624931098033317656,1.7931184E7
LEFT_ARM,1624931098066650625,1.7930404E7
LEFT_ARM,1624931098099983594,1.7931716E7
LEFT_ARM,1624931098133316562,1.793201E7
LEFT_ARM,1624931098166649531,1.7941154E7
LEFT_ARM,1624931098199982500,1.7946286E7
LEFT_ARM,1624931098233315469,1.794893E7
LEFT_ARM,1624931098266648437,1.7952858E7
LEFT_ARM,1624931098299981406,1.7960334E7
LEFT_ARM,1624931098333314375,1.7966702E7
LEFT_ARM,1624931098366647344,1.7976266E7
LEFT_ARM,1624931098399980312,1.7974562E7
LEFT_ARM,1624931098433313281,1.7964814E7
LEFT_ARM,1624931098466646250,1.7944484E7
LEFT_ARM,1624931098499979219,1.7932832E7
LEFT_ARM,1624931098533312187,1.7916982E7
LEFT_ARM,1624931098566645156,1.7901326E7
LEFT_ARM,1624931098599978125,1.7891854E7
LEFT_ARM,1624931098633311094,1.7875026E7
LEFT_ARM,1624931098666644062,1.7873504E7
LEFT_ARM,1624931098699977031,1.786512E7
LEFT_ARM,1624931098733310000,1.7859014E7
LEFT_ARM,1624931098766642969,1.7856428E7
LEFT_ARM,1624931098799975937,1.7851422E7
LEFT_ARM,1624931098833308906,1.785276E7
LEFT_ARM,1624931098866641875,1.7849232E7
LEFT_ARM,1624931098899974844,1.7853126E7
LEFT_ARM,1624931098933307812,1.7854706E7
LEFT_ARM,1624931098966640781,1.7861608E7
LEFT_ARM,1624931098999973750,1.78714E7
LEFT_ARM,1624931099033306719,1.787439E7
LEFT_ARM,1624931099066639687,1.78781E7
LEFT_ARM,1624931099099972656,1.788533E7
LEFT_ARM,1624931099133305625,1.7894202E7
LEFT_ARM,1624931099166638594,1.7903482E7
LEFT_ARM,1624931099199971562,1.7906626E7
LEFT_ARM,1624931099233304531,1.791574E7
LEFT_ARM,1624931099266637500,1.792808E7
LEFT_ARM,1624931099299970469,1.7937056E7
LEFT_ARM,1624931099333303437,1.7948242E7
LEFT_ARM,1624931099366636406,1.7957258E7
LEFT_ARM,1624931099399969375,1.7965674E7
LEFT_ARM,1624931099433302344,1.7975962E7
LEFT_ARM,1624931099466635312,1.7973346E7
LEFT_ARM,1624931099499968281,1.7961678E7
LEFT_ARM,1624931099533301250,1.7944424E7
LEFT_ARM,1624931099566634219,1.7930538E7
LEFT_ARM,1624931099599967187,1.7919562E7
LEFT_ARM,1624931099633300156,1.7908964E7
LEFT_ARM,1624931099666633125,1.7902738E7
LEFT_ARM,1624931099699966094,1.7891234E7
LEFT_ARM,1624931099733299062,1.7890558E7
LEFT_ARM,1624931099766632031,1.7887606E7
LEFT_ARM,1624931099799965000,1.7888736E7
LEFT_ARM,1624931099833297969,1.7890246E7
LEFT_ARM,1624931099866630937,1.7891366E7
LEFT_ARM,1624931099899963906,1.789054E7
LEFT_ARM,1624931099933296875,1.7890214E7
LEFT_ARM,1624931099966629844,1.7893282E7
LEFT_ARM,1624931099999962812,1.7896754E7
LEFT_ARM,1624931100033295781,1.789993E7
LEFT_ARM,1624931100066628750,1.7906154E7
LEFT_ARM,1624931100099961719,1.7909566E7
LEFT_ARM,1624931100133294687,1.791579E7
LEFT_ARM,1624931100166627656,1.7924194E7
LEFT_ARM,1624931100199960625,1.7936638E7
LEFT_ARM,1624931100233293594,1.7942942E7
LEFT_ARM,1624931100266626562,1.795299E7
LEFT_ARM,1624931100299959531,1.7959174E7
LEFT_ARM,1624931100333292500,1.7966072E7
LEFT_ARM,1624931100366625469,1.7973418E7
LEFT_ARM,1624931100399958437,1.7981574E7
LEFT_ARM,1624931100433291406,1.7994298E7
LEFT_ARM,1624931100466624375,1.7998458E7
LEFT_ARM,1624931100499957344,1.8005698E7
LEFT_ARM,1624931100533290312,1.7998486E7
LEFT_ARM,1624931100566623281,1.7986678E7
LEFT_ARM,1624931100599956250,1.7968622E7
LEFT_ARM,1624931100633289219,1.7956014E7
LEFT_ARM,1624931100666622187,1.7942318E7
LEFT_ARM,1624931100699955156,1.7924314E7
LEFT_ARM,1624931100733288125,1.7914712E7
LEFT_ARM,1624931100766621094,1.7908152E7
LEFT_ARM,1624931100799954062,1.7902638E7
LEFT_ARM,1624931100833287031,1.7896618E7
LEFT_ARM,1624931100866620000,1.7891426E7
LEFT_ARM,1624931100899952969,1.7883478E7
LEFT_ARM,1624931100933285937,1.7881896E7
LEFT_ARM,1624931100966618906,1.78866E7
LEFT_ARM,1624931100999951875,1.7885386E7
LEFT_ARM,1624931101033284844,1.788547E7
LEFT_ARM,1624931101066617812,1.7887608E7
LEFT_ARM,1624931101099950781,1.7895086E7
LEFT_ARM,1624931101133283750,1.7902362E7
LEFT_ARM,1624931101166616719,1.790193E7
LEFT_ARM,1624931101199949687,1.791503E7
LEFT_ARM,1624931101233282656,1.792182E7
LEFT_ARM,1624931101266615625,1.793395E7
LEFT_ARM,1624931101299948594,1.793705E7
LEFT_ARM,1624931101333281562,1.7947286E7
LEFT_ARM,1624931101366614531,1.7957466E7
LEFT_ARM,1624931101399947500,1.7962908E7
LEFT_ARM,1624931101433280469,1.797233E7
LEFT_ARM,1624931101466613437,1.7977306E7
LEFT_ARM,1624931101499946406,1.7989302E7
LEFT_ARM,1624931101533279375,1.8001012E7
LEFT_ARM,1624931101566612344,1.801031E7
LEFT_ARM,1624931101599945312,1.8018882E7
LEFT_ARM,1624931101633278281,1.801168E7
LEFT_ARM,1624931101666611250,1.799721E7
LEFT_ARM,1624931101699944219,1.7986806E7
LEFT_ARM,1624931101733277187,1.7976284E7
LEFT_ARM,1624931101766610156,1.7964688E7
LEFT_ARM,1624931101799943125,1.7951202E7
LEFT_ARM,1624931101833276094,1.7945222E7
LEFT_ARM,1624931101866609062,1.7948854E7
LEFT_ARM,1624931101899942031,1.7950624E7
LEFT_ARM,1624931101933275000,1.7951574E7
LEFT_ARM,1624931101966607969,1.7950938E7
LEFT_ARM,1624931101999940937,1.7948432E7
LEFT_ARM,1624931102033273906,1.7952656E7
LEFT_ARM,1624931102066606875,1.7952176E7
LEFT_ARM,1624931102099939844,1.795601E7
LEFT_ARM,1624931102133272812,1.7960106E7
LEFT_ARM,1624931102166605781,1.796217E7
LEFT_ARM,1624931102199938750,1.796488E7
LEFT_ARM,1624931102233271719,1.7973146E7
LEFT_ARM,1624931102266604687,1.7979418E7
LEFT_ARM,1624931102299937656,1.798389E7
LEFT_ARM,1624931102333270625,1.7991696E7
LEFT_ARM,1624931102366603594,1.7999886E7
LEFT_ARM,1624931102399936562,1.8006418E7
LEFT_ARM,1624931102433269531,1.8020366E7
LEFT_ARM,1624931102466602500,1.8029808E7
